Jname,P0,DM,presto_sn,Flux_mwa,Flux_sig,obsid
J0030+0451,    4.865,    4.33,   19.6,  nan, nan, 1255444104
J0034-0534,    1.877,   13.77,   51.3,  nan, nan, 1255444104
J0034-0721,  942.951,   10.89,  394.1, 21.8, 2.2, 1255444104
J0038-2501,  256.926,    5.69,   70.8,  2.9, 0.3, 1226062160
J0051+0423,  354.732,   13.90,   29.6,  2.5, 0.2, 1225118240
J0133-6957,  463.474,   22.95,   27.4,  1.8, 0.2, 1227009976
J0134-2937,  136.962,   21.79,    9.1,  2.1, 0.2, 1226062160
J0151-0635, 1464.665,   25.66,   12.9,  nan, nan, 1252177744
J0152-1637,  832.742,   11.93,  176.3,  4.8, 0.5, 1225462936
J0206-4028,  630.551,   12.90,  185.9,  4.3, 0.4, 1224859816
J0255-5304,  447.708,   15.90,   13.2,  nan, nan, 1253471952
J0304+1932, 1387.584,   15.66,   40.6,  4.2, 0.4, 1254594264
J0401-7608,  545.254,   21.70,   60.0,  6.7, 0.7, 1255803168
J0418-4154,  757.119,   24.32,   46.3,  nan, nan, 1253991112
J0437-4715,    5.757,     nan,    0.0,  nan, nan, 1257617424
J0450-1248,  438.014,   37.04,   42.6, 14.9, 1.5, 1256407632
J0452-1759,  548.939,   39.90,  166.8,  6.1, 0.6, 1257010784
J0459-0210, 1133.076,   21.02,   92.9,  6.8, 0.7, 1256407632
J0514-4408,  320.271,   15.12,   33.5,  2.9, 0.3, 1257617424
J0520-2553,  241.642,   33.77,   17.3,  3.7, 0.4, 1257010784
J0528+2200, 3745.539,     nan,    0.0,  nan, nan, 1259685792
J0534+2200,   33.392,     nan,    0.0,  nan, nan, 1259685792
J0600-5756, 2261.365,   30.00,   19.7,  0.4, 0.0, 1257617424
J0601-0527,  395.969,   80.54,   20.6, 11.0, 1.1, 1259427304
J0624-0424, 1039.076,   70.83,   18.3,  2.7, 0.3, 1260638120
J0630-2834, 1244.419,   34.42,  864.0, 51.8, 5.2, 1261241272
J0636-4549, 1984.597,   26.31,   36.0,  0.0, 0.0, 1258221008
J0702-4956,  665.994,     nan,    0.0,  nan, nan, 1257617424
J0729-1448,  251.659,   91.96,   23.0,  7.9, 0.8, 1266155952
J0729-1836,  510.160,   61.32,   18.6,  7.0, 0.7, 1266155952
J0737-3039A,   22.699,   48.92,   30.8, 23.2, 2.3, 1261241272
J0742-2822,  166.762,   73.81,   21.3, 31.8, 3.2, 1265470568
J0749-4247, 1095.452,    0.00,    0.0,  nan, nan, 1265983624
J0758-1528,  682.265,   63.30,   26.2,  2.3, 0.2, 1266155952
J0820-1350, 1238.130,   40.99,  390.8,  8.7, 0.9, 1266155952
J0820-3921, 1073.567,    0.00,    0.0,  nan, nan, 1265983624
J0820-4114,  545.446,  113.40,   11.2,  2.9, 0.3, 1265470568
J0826+2637,  530.661,   19.47,  190.5,  9.3, 0.9, 1265725128
J0835-4510,   89.328,   67.84,  173.1,  nan, nan, 1266680784
J0837+0610, 1273.768,   12.87,  143.2,  4.0, 0.4, 1265725128
J0837-4135,  751.625,  147.30,   77.7,  3.8, 0.4, 1266329600
J0838-3947, 1703.946,    0.00,    0.0,  nan, nan, 1265983624
J0842-4851,  644.354,  196.58,   12.1,  nan, nan, 1266329600
J0855-3331, 1267.536,   86.41,   27.4,  1.4, 0.1, 1265470568
J0856-6137,  962.511,   95.78,   99.0,  2.5, 0.2, 1266932744
J0902-6325,  660.313,   72.85,   29.5,  2.8, 0.3, 1266932744
J0904-7459,  549.554,   49.11,   11.2, -1.2, -0.1, 1266932744
J0905-6019,  340.854,   91.67,   21.7,  2.1, 0.2, 1266932744
J0907-5157,  253.558,  103.81,   16.4,  8.7, 0.9, 1266329600
J0908-1739,  401.626,   15.87,    0.0,  1.4, 0.1, 1267283936
J0922+0638,  430.627,   27.29,  176.4,  6.2, 0.6, 1264867416
J0924-5302,  746.338,  153.34,   28.4,  2.2, 0.2, 1266680784
J0924-5814,  739.505,   57.25,   20.7,  2.1, 0.2, 1266932744
J0930-2301, 1807.069,    0.00,    0.0,  nan, nan, 1266155952
J0942-5552,  664.389,  180.03,   31.1,  3.3, 0.3, 1266932744
J0942-5657,  808.164,  160.19,  116.3,  4.0, 0.4, 1266932744
J0943+1631, 1087.418,   20.48,    9.7,  2.5, 0.3, 1267111608
J0944-1354,  570.264,   12.50,    0.0,  1.3, 0.1, 1267283936
J0946+0951, 1097.706,   15.32,  210.1,  5.7, 0.6, 1267111608
J0953+0755,  253.065,    2.97,  569.9, 22.7, 2.3, 1267111608
J0955-5304,  862.122,  156.86,   23.1,  4.7, 0.5, 1266680784
J0959-4809,  670.086,   92.46,    0.0,  2.6, 0.3, 1266680784
J1003-4747,  307.074,   98.56,   10.2,  3.0, 0.3, 1266680784
J1012-2337, 2517.945,   22.69,    0.0,  1.4, 0.1, 1268321832
J1018-1642, 1804.695,   48.83,   12.4, -0.1, -0.0, 1268321832
J1022+1001,   16.453,   10.26,   21.9,  5.5, 0.5, 1264867416
J1034-3224, 1150.590,   50.80,   26.9,  2.9, 0.3, 1268321832
J1041-1942, 1386.368,   33.79,   32.7,  2.2, 0.2, 1268321832
J1057-5226,  197.115,   29.71,   92.7,  8.3, 0.8, 1267459328
J1059-5742, 1185.003,  108.85,   18.0,  2.7, 0.3, 1301240224
J1112-6926,  820.488,  148.49,   25.8,  0.8, 0.1, 1301240224
J1116-4122,  943.158,   40.56,    0.0,  1.8, 0.2, 1267459328
J1121-5444,  535.787,  204.70,   18.7,  nan, nan, 1267459328
J1123-4844,  244.838,   93.59,    7.3,  2.5, 0.2, 1267459328
J1123-6651,  232.976,  111.19,   20.3,  4.7, 0.5, 1301240224
J1136+1551, 1187.913,    4.84,  439.2,  8.5, 0.8, 1268063336
J1136-5525,  364.713,   85.14,   15.8,  2.7, 0.3, 1267459328
J1141-6545,  393.899,  115.96,   13.2,  7.1, 0.7, 1301240224
J1146-6030,  273.375,  111.68,   12.7, -0.7, -0.1, 1267459328
J1202-5820,  452.803,  145.91,   28.1,  6.4, 0.6, 1301240224
J1224-6407,  216.480,   97.78,   49.9,  4.7, 0.5, 1301240224
J1225-5556, 1018.453,  125.61,   12.6,  0.5, 0.0, 1267459328
J1239-6832, 1301.923,   93.95,   28.6,  2.8, 0.3, 1301240224
J1240-4124,  512.242,   43.30,   25.2,  1.6, 0.2, 1301412552
J1257-1027,  617.308,   29.66,   15.3,  2.0, 0.2, 1300809400
J1300+1240,    6.219,   10.15,   16.8,  0.0, 0.0, 1301847296
J1311-1228,  447.518,   36.25,   33.7,  1.7, 0.2, 1301847296
J1312-5402,  728.154,  135.91,    7.9,  2.8, 0.3, 1267459328
J1313+0931,  848.933,   12.05,   30.7,  2.5, 0.3, 1301847296
J1320-5359,  279.738,   97.32,   12.8,  2.4, 0.2, 1301412552
J1328-4357,  532.699,   41.31,   29.5,  3.0, 0.3, 1301412552
J1332-3032,  650.434,   14.71,   21.6,  2.0, 0.2, 1301674968
J1335-3642,  399.192,   41.86,   21.9,  4.6, 0.5, 1301412552
J1340-6456,  378.622,   76.71,   16.0,  1.1, 0.1, 1301240224
J1355-5153,  644.305,  111.50,   71.5,  3.8, 0.4, 1302106648
J1418-3921, 1096.806,   60.31,   22.6,  5.8, 0.6, 1302106648
J1430-6623,  785.443,   65.08,   61.0,  4.7, 0.5, 1302106648
J1440-6344,  459.607,  123.91,   20.8,  0.3, 0.0, 1302106648
J1453-6413,  179.487,   71.07,  422.0, 20.9, 2.1, 1302106648
J1455-3330,    7.987,   13.57,   16.7,  0.0, 0.0, 1302282040
J1456-6843,  263.377,    8.62,  179.5, 13.2, 1.3, 1302106648
J1507-4352,  286.758,   49.16,   66.0,  4.6, 0.5, 1302282040
J1510-4422,  943.871,   84.22,   12.8,  3.2, 0.3, 1302282040
J1527-3931, 2417.605,   48.77,   23.9, -1.4, -0.1, 1302282040
J1534-5334, 1368.882,   24.68,   39.7,  5.0, 0.5, 1302282040
J1536-4948,    3.080,   38.01,    4.4,  nan, nan, 1302282040
J1543+0929,  748.448,   34.97,  134.4, 15.5, 1.6, 1302540536
J1543-0620,  709.064,   18.37,  208.5,  8.7, 0.9, 1302712864
J2048-1616, 1961.572,   11.51,   53.7,  3.9, 0.4, 1222435400
J2108-3429, 1423.102,   29.76,    6.9, -2.4, -0.2, 1222435400
J2145-0750,   16.052,    9.01,   24.6,  6.2, 0.6, 1222697776
J2155-3118, 1030.002,   14.86,  277.8,  6.1, 0.6, 1222435400
J2222-0137,   32.818,    3.27,   15.0,  1.2, 0.1, 1221832280
J2234+2114, 1358.745,   35.21,    7.0,  3.9, 0.4, 1223042480
J2241-5236,    2.187,   11.41,  238.3, 20.5, 2.0, 1224252736
J2248-0101,  477.233,   34.80,    6.4,  nan, nan, 1221832280
J2317+2149, 1444.653,   20.90,   59.4,  0.7, 0.1, 1223042480
J2324-6054, 2347.488,   14.00,   10.2, -0.0, -0.0, 1227009976
J2325-0530,  868.735,   15.01,    9.6,  0.6, 0.1, 1222697776
J2330-2005, 1643.622,    8.46,  240.0,  1.8, 0.2, 1226062160
J2336-01, 1029.800,   19.38,    8.5,  nan, nan, 1222697776
J2354-22,  557.996,    9.99,   29.5,  0.1, 0.0, 1226062160
